query_id,scene_id,object_a,object_b,available_points_a,available_points_b,n_points_requested,seed,sampled_distance_m,full_point_distance_m,stored_gt_distance_m,abs_error_vs_full_m,abs_error_full_vs_stored_gt_m
test_stage1_dn_0003,scene0050_02,scene0050_02__chair_000,scene0050_02__desk_003,7443,4343,5000,2,0.19292964903760665,0.1923689553116965,0.1923689544200897,0.0005606937259101386,8.916068161557433e-10
test_stage1_dn_0003,scene0050_02,scene0050_02__chair_000,scene0050_02__desk_003,7443,4343,5000,3,0.1923689553116965,0.1923689553116965,0.1923689544200897,0.0,8.916068161557433e-10
test_stage1_dn_0003,scene0050_02,scene0050_02__chair_000,scene0050_02__desk_003,7443,4343,5000,4,0.19394715566157456,0.1923689553116965,0.1923689544200897,0.001578200349878045,8.916068161557433e-10
test_stage1_dn_0003,scene0050_02,scene0050_02__chair_000,scene0050_02__desk_003,7443,4343,10000,0,0.19394715566157456,0.1923689553116965,0.1923689544200897,0.001578200349878045,8.916068161557433e-10
test_stage1_dn_0003,scene0050_02,scene0050_02__chair_000,scene0050_02__desk_003,7443,4343,10000,1,0.1923689553116965,0.1923689553116965,0.1923689544200897,0.0,8.916068161557433e-10
test_stage1_dn_0003,scene0050_02,scene0050_02__chair_000,scene0050_02__desk_003,7443,4343,10000,2,0.1923689553116965,0.1923689553116965,0.1923689544200897,0.0,8.916068161557433e-10
test_stage1_dn_0003,scene0050_02,scene0050_02__chair_000,scene0050_02__desk_003,7443,4343,10000,3,0.1923689553116965,0.1923689553116965,0.1923689544200897,0.0,8.916068161557433e-10
test_stage1_dn_0003,scene0050_02,scene0050_02__chair_000,scene0050_02__desk_003,7443,4343,10000,4,0.19394715566157456,0.1923689553116965,0.1923689544200897,0.001578200349878045,8.916068161557433e-10
test_stage1_dn_0003,scene0050_02,scene0050_02__chair_000,scene0050_02__desk_003,7443,4343,20000,0,0.1923689553116965,0.1923689553116965,0.1923689544200897,0.0,8.916068161557433e-10
test_stage1_dn_0003,scene0050_02,scene0050_02__chair_000,scene0050_02__desk_003,7443,4343,20000,1,0.1923689553116965,0.1923689553116965,0.1923689544200897,0.0,8.916068161557433e-10
test_stage1_dn_0003,scene0050_02,scene0050_02__chair_000,scene0050_02__desk_003,7443,4343,20000,2,0.1923689553116965,0.1923689553116965,0.1923689544200897,0.0,8.916068161557433e-10
test_stage1_dn_0003,scene0050_02,scene0050_02__chair_000,scene0050_02__desk_003,7443,4343,20000,3,0.1923689553116965,0.1923689553116965,0.1923689544200897,0.0,8.916068161557433e-10
test_stage1_dn_0003,scene0050_02,scene0050_02__chair_000,scene0050_02__desk_003,7443,4343,20000,4,0.1923689553116965,0.1923689553116965,0.1923689544200897,0.0,8.916068161557433e-10
test_stage1_dn_0004,scene0050_02,scene0050_02__sofa_005,scene0050_02__table_011,8320,3777,512,0,0.1753087475290661,0.16706469218811415,0.1670646965503692,0.008244055340951961,4.3622550571775776e-09
test_stage1_dn_0004,scene0050_02,scene0050_02__sofa_005,scene0050_02__table_011,8320,3777,512,1,0.16887783381527688,0.16706469218811415,0.1670646965503692,0.0018131416271627288,4.3622550571775776e-09
test_stage1_dn_0004,scene0050_02,scene0050_02__sofa_005,scene0050_02__table_011,8320,3777,512,2,0.17003580664920576,0.16706469218811415,0.1670646965503692,0.0029711144610916063,4.3622550571775776e-09
test_stage1_dn_0004,scene0050_02,scene0050_02__sofa_005,scene0050_02__table_011,8320,3777,512,3,0.17182057112824867,0.16706469218811415,0.1670646965503692,0.004755878940134517,4.3622550571775776e-09
